model,frame_id,fps,latency_ms,precision,recall,f1,mAP,avg_confidence,num_detections
YOLOv8,171,22.2,45.04,0.0,0.0,0.0,0.0,0.8204,2
YOLOv8,172,18.38,54.41,0.0,0.0,0.0,0.0,0.7914,2
YOLOv8,173,19.33,51.73,0.0,0.0,0.0,0.0,0.6254,3
YOLOv8,174,20.74,48.21,0.0,0.0,0.0,0.0,0.7974,2
YOLOv8,175,18.07,55.35,0.0,0.0,0.0,0.0,0.6301,3
YOLOv8,176,18.36,54.46,0.0,0.0,0.0,0.0,0.8029,2
YOLOv8,177,21.6,46.3,0.0,0.0,0.0,0.0,0.8066,2
YOLOv8,178,20.79,48.09,0.0,0.0,0.0,0.0,0.8201,2
YOLOv8,179,20.22,49.46,0.0,0.0,0.0,0.0,0.8263,2
YOLOv8,180,29.88,33.47,0.0,0.0,0.0,0.0,0.7819,2
YOLOv8,181,19.87,50.32,0.0,0.0,0.0,0.0,0.8026,2
YOLOv8,182,18.8,53.19,0.0,0.0,0.0,0.0,0.8009,2
YOLOv8,183,20.84,47.98,0.0,0.0,0.0,0.0,0.7683,2
YOLOv8,184,18.37,54.43,0.0,0.0,0.0,0.0,0.6225,3
YOLOv8,185,21.5,46.51,0.0,0.0,0.0,0.0,0.8129,2
YOLOv8,186,20.7,48.3,0.0,0.0,0.0,0.0,0.8061,2
YOLOv8,187,18.19,54.98,0.0,0.0,0.0,0.0,0.791,2
YOLOv8,188,20.28,49.32,0.0,0.0,0.0,0.0,0.8165,2
YOLOv8,189,16.49,60.64,0.0,0.0,0.0,0.0,0.804,2
YOLOv8,190,24.16,41.4,0.0,0.0,0.0,0.0,0.7776,2
YOLOv8,191,16.39,61.0,0.0,0.0,0.0,0.0,0.7873,2
YOLOv8,192,17.78,56.24,0.0,0.0,0.0,0.0,0.7916,2
YOLOv8,193,21.54,46.42,0.0,0.0,0.0,0.0,0.7731,2
YOLOv8,194,20.98,47.67,0.0,0.0,0.0,0.0,0.7973,2
YOLOv8,195,24.57,40.7,0.0,0.0,0.0,0.0,0.8002,2
YOLOv8,196,20.67,48.38,0.0,0.0,0.0,0.0,0.7986,2
YOLOv8,197,21.37,46.8,0.0,0.0,0.0,0.0,0.8016,2
YOLOv8,198,17.24,58.01,0.0,0.0,0.0,0.0,0.6194,3
YOLOv8,199,17.09,58.5,0.0,0.0,0.0,0.0,0.6003,3
YOLOv8,200,23.92,41.81,0.0,0.0,0.0,0.0,0.6342,3
YOLOv8,201,23.26,43.0,0.0,0.0,0.0,0.0,0.557,4
YOLOv8,202,21.59,46.32,0.0,0.0,0.0,0.0,0.6461,3
YOLOv8,203,20.99,47.63,0.0,0.0,0.0,0.0,0.6449,3
YOLOv8,204,25.3,39.52,0.0,0.0,0.0,0.0,0.5376,4
YOLOv8,205,15.32,65.26,0.0,0.0,0.0,0.0,0.5388,4
YOLOv8,206,20.17,49.59,0.0,0.0,0.0,0.0,0.8324,2
YOLOv8,207,17.94,55.75,0.0,0.0,0.0,0.0,0.6592,3
YOLOv8,208,19.45,51.4,0.0,0.0,0.0,0.0,0.634,3
YOLOv8,209,19.61,51.01,0.0,0.0,0.0,0.0,0.6359,3
YOLOv8,210,18.32,54.6,0.0,0.0,0.0,0.0,0.6159,3
YOLOv8,211,20.09,49.77,0.0,0.0,0.0,0.0,0.6506,3
